param_a param_b param_c param_d .PERFORMANCE.
0.5653627149982748 0.27455770713426797 0.2538577087763334 0.1733413397257204 0.2727272727272727
0.7581166473998966 0.7455402036526935 0.19998062014083662 0.9693572196751447 0.2727272727272727
0.3996965170813068 0.13575971471972847 0.33805475429768084 0.7632070674140947 0.2727272727272727
0.10094107719173229 0.3743268608277942 0.6434384025113459 0.24488113570240655 0.2727272727272727
0.3091094100079923 0.8672869849591694 0.3868413243842308 0.994878522984567 0.2727272727272727
0.4903996765240486 0.3004593872863871 0.31443423688317984 0.6590887506165748 0.2727272727272727
0.7908860083387516 0.34033271053648995 0.206673994017482 0.5241611872884804 0.2727272727272727
0.10323246156844512 0.01928321204456318 0.5844057837703917 0.3743266970371517 0.2727272727272727
0.4723794367714069 0.5798114924502356 0.790557795313649 0.9427949192937938 0.5454545454545454
0.5774717532851964 0.2034651009922176 0.42273831496073544 0.80155816017662 0.2727272727272727
0.6914391088812568 0.44657138120632944 0.3990247601282151 0.6438213172062908 0.2727272727272727
0.23498279557483814 0.172870438449373 0.46955497934788637 0.9573475604427384 0.2727272727272727
0.795258448360299 0.5592541585139876 0.5455585425446852 0.1476521164468363 0.5454545454545454
0.05927458764180127 0.10025111998711278 0.4693503169727591 0.09521393516495558 0.2727272727272727
0.15021327959029152 0.5420199061526915 0.8908304470016003 0.5355320012475744 0.5454545454545454
0.5308652397906658 0.5139620510745191 0.747179487593354 0.6224440010310657 0.5454545454545454
0.3303569464252232 0.7603498496138027 0.8666249132915568 0.5977835537768895 0.2727272727272727
0.7695821313526848 0.2937648555821356 0.6766156650690051 0.9169791128624922 0.2727272727272727
0.4491977509610773 0.8831097441999771 0.1842631662554215 0.3380327114150232 0.2727272727272727
0.8370521316712184 0.9627476614025882 0.7423975524200408 0.8014954320885187 0.2727272727272727
0.6823072264086842 0.08222463669467461 0.3231874963442206 0.06437655353902072 0.2727272727272727
0.3582973911118793 0.899503678926632 0.7517905174551703 0.4136781628468562 0.2727272727272727
0.3080864434937194 0.8021106466100947 0.03293170387509925 0.184657833978776 0.5
0.19485633870096553 0.3729172445467348 0.011447545972747664 0.7535907863844351 0.5
0.7360790641628684 0.4687539226667554 0.5511401106313352 0.9148033030487378 0.2727272727272727
0.9777855412843077 0.6240670154405027 0.49288701009397506 0.3761083799144642 0.0
0.3688023676232792 0.9042615582274808 0.3296613880184458 0.4715651000524773 0.2727272727272727
0.40593551741099776 0.5749395109292186 0.4978536148761711 0.038947689199910096 0.5454545454545454
