param_a param_b param_c .PERFORMANCE.
0.9466698232874678 0.7613665331405809 0.8900608323975914 0.0
0.058955820379772206 0.27771140266646444 0.9353730106894119 0.1111111111111111
0.9301990743922669 0.5753076772700295 0.6077519417447973 0.0
0.48210251830431616 0.30169100347585587 0.05622531584033219 0.0
0.3388087477701035 0.6438661390141539 0.45795421834323835 0.0
0.40966167048780733 0.6907036154268825 0.5104520972944508 0.0
0.9243891305596817 0.7963531182628243 0.9667010101943285 0.0
0.5283746903453258 0.7094303085243719 0.8249157594295295 0.2222222222222222
0.8109791732308784 0.9965543620599331 0.4963417870004758 0.0
0.9198396824935255 0.47700791262741005 0.9074285078680514 0.0
0.6628503231982712 0.1773745629834257 0.16893623982338313 0.2222222222222222
0.35686696411547814 0.19095090026218975 0.7775000307914257 0.0
0.32307705388391406 0.7850047755355597 0.4443363626390825 0.0
0.9304755613841403 0.5194884722479286 0.005237318998865037 0.0
0.7614005588743572 0.9116592273811169 0.4693481405197486 0.0
0.6044062868559156 0.5229674806804716 0.8706290072532409 0.2222222222222222
0.0861383682725172 0.11982601351296485 0.5157096514495925 0.1111111111111111
0.4314015098716131 0.2743196608678804 0.041738359727368834 0.0
0.19166195754144044 0.9241156248367464 0.7320590066688141 0.2222222222222222
0.051462582606339846 0.2888232562238091 0.06190696815564056 0.1111111111111111
0.4816466576439057 0.518481534215119 0.4624114801135606 0.0
0.30026895012213406 0.7712988972932547 0.3575112868128354 0.0
0.7335800035563038 0.9721927124615554 0.05408968694041394 0.0
0.29812758039659515 0.18352769745633357 0.29090207081385944 0.1111111111111111
0.7435137011662389 0.32048126152527945 0.2508490825293016 0.0
0.7628730292416175 0.021384844416150295 0.9671768016842747 0.0
0.7335308385730801 0.562610159928794 0.6639236700721072 0.0
0.40385405696186516 0.24286598210000088 0.42352579346095565 0.0
0.17780086624770708 0.0749684355219391 0.1336087894347352 0.2222222222222222
0.17575866828252884 0.17294898545495452 0.8240614430496692 0.2222222222222222
0.6191771195670935 0.47273337150648387 0.730181011729951 0.2222222222222222
0.5430909089747161 0.5165851647040389 0.3440913127070937 0.2222222222222222
0.7496611311291032 0.03792212328992828 0.6881074600672155 0.0
